date,tic,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2026-05-23 15:00:00,BTCUSD,75439.7,75595.5,75318.6,75421.5,106.95138635,0.0,75482.752308679,75293.247691321,50.0,0.0,0.0,75421.5,75421.5
2026-05-23 16:00:00,BTCUSD,75421.6,75537.5,75327.7,75354.5,44.43428708,-1.5032051282032626,75482.752308679,75293.247691321,0.0,0.0,0.0,75388.0,75388.0
2026-05-23 17:00:00,BTCUSD,75354.5,75424.0,75283.9,75420.0,39.2697895,0.11576938092184719,75475.18028201279,75322.15305132055,50.28147389969294,0.0,100.0,75398.66666666667,75398.66666666667
2026-05-23 18:00:00,BTCUSD,75420.0,75896.7,75383.5,75761.1,71.12782977,13.164559093667776,75857.05320761974,75121.49679238025,86.59432530298217,0.0,83.55855855855746,75489.275,75489.275
2026-05-23 19:00:00,BTCUSD,75761.1,75900.0,75699.1,75895.1,45.20428845,25.31009752873797,76053.3486373218,75087.5313626782,89.6626301025512,0.0,83.66681831121086,75570.44,75570.44
2026-05-23 20:00:00,BTCUSD,75891.8,77199.0,75866.3,77182.4,392.60005695,87.18116930640826,77224.32102785078,74453.8789721492,96.84318083555264,0.0,95.56320424812665,75839.09999999999,75839.09999999999
2026-05-23 21:00:00,BTCUSD,77182.5,77308.2,76461.6,76700.1,117.9698851,103.5090223463194,77384.29656869223,74539.90343130776,76.3012933055543,0.0,95.8274926508299,75962.09999999999,75962.09999999999
2026-05-23 22:00:00,BTCUSD,76700.1,76785.8,76307.7,76486.1,128.1125341,102.61526249932649,77395.43846581804,74659.76153418198,69.53153893229256,0.0,80.17967729468538,76027.6,76027.6
2026-05-23 23:00:00,BTCUSD,76486.2,76700.0,76453.7,76670.1,25.53399688,109.56392538103682,77448.27712883039,74749.7006489474,71.7601329787542,0.0,80.17967729468538,76098.9888888889,76098.9888888889
2026-05-24 00:00:00,BTCUSD,76670.1,76827.5,76552.0,76744.3,33.68085408,116.72108297425439,77499.50757412717,74827.53242587284,72.59631112743801,0.0,81.49091964890586,76163.52,76163.52
2026-05-24 01:00:00,BTCUSD,76744.3,76823.5,76659.0,76787.6,35.85746694,122.56287355328095,77542.37560606476,74898.13348484434,73.07754705327476,0.0,81.49091964890587,76220.25454545455,76220.25454545455
2026-05-24 02:00:00,BTCUSD,76787.6,76840.0,76628.0,76733.4,16.29984067,122.20107994454156,77557.95581113594,74968.07752219742,71.45273724931816,0.0,78.41968472241952,76263.01666666668,76263.01666666668
2026-05-24 03:00:00,BTCUSD,76733.4,76915.8,76650.0,76650.1,8.77759692,115.60625199104834,77551.05740551958,75034.52720986506,69.01313352200211,0.0,79.30550132403071,76292.79230769232,76292.79230769232
2026-05-24 04:00:00,BTCUSD,76650.1,76751.0,76650.0,76682.2,15.08047083,111.02884458233893,77547.29752562079,75093.9167600935,69.4292262599921,0.0,79.30550132403069,76320.60714285714,76320.60714285714
2026-05-24 05:00:00,BTCUSD,76682.1,76771.0,76562.8,76731.0,63.29645251,109.05603939476714,77548.88231177528,75147.05102155804,70.06146494772202,0.0,70.68041381139439,76347.96666666666,76347.96666666666
2026-05-24 06:00:00,BTCUSD,76730.7,76938.2,76623.1,76891.6,42.18622842,115.92870821579709,77573.55447831414,75190.33302168587,72.03073241535732,0.0,73.23424635608909,76381.94375,76381.94375
2026-05-24 07:00:00,BTCUSD,76892.4,76909.6,76704.0,76704.1,74.66051044,108.1280569905066,77565.20079432332,75236.58744097079,66.72956587552093,0.0,73.23424635608907,76400.89411764705,76400.89411764705
2026-05-24 08:00:00,BTCUSD,76704.1,76754.9,76631.9,76723.2,44.58429042,102.0308680896851,77558.51617313,75279.08382687,66.98560849781897,0.0,66.54004511681651,76418.8,76418.8
2026-05-24 09:00:00,BTCUSD,76723.2,76933.0,76723.1,76932.9,76.09751324,109.55610317940591,77578.3024880654,75313.4133014083,69.63931947345554,0.0,69.54712663175654,76445.85789473685,76445.85789473685
2026-05-24 10:00:00,BTCUSD,76932.9,77421.2,76839.3,77094.6,70.64419905,124.5744255825557,77618.07904321078,75338.51095678925,71.46871060235046,0.0,75.73177457523884,76478.29500000001,76478.29500000001
